Interests,Budget Range,Travel Type,Accommodation Preference,Transport Preferences,Preferred Locations,Activities
"Beach, Relaxation, Culture",High,Solo,Luxury,Rental Car,"Bentota, Pasikudah, Dambulla, Trincomalee, Kalutara, Dambulla",Jet skiing in Bentota; Enjoy snorkeling in Pasikudah; Explore Dambulla Cave Temple; Snorkel at Pigeon Island; Visit Kalutara Bodhiya; Explore Dambulla Cave Temple
"Adventure, Culture, Beach",Low,Group,Luxury,Train,"Mirissa, Arugambay, Nuwara Eliya, Sigiriya, Negombo, Kalutara",Go whale watching in Mirissa; Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Visit Sigiriya Rock Fortress; Relax on Negombo Beach; Visit Kalutara Bodhiya
Relaxation,High,Family,Luxury,Train,Kalutara,Visit Kalutara Bodhiya
"Culture, Beach",Low,Family,Budget,Rental Car,"Galle, Mihintale, Trincomalee, Matara, Kalutara",Explore Dutch Fort in Galle; Climb Mihintale Rock Temple; Snorkel at Pigeon Island; Visit Parey Dewa in Matara; Visit Kalutara Bodhiya
"Culture, Wildlife, Relaxation",High,Group,Luxury,Bus,"Kalutara, Sigiriya, Ratnapura, Wilpattu, Nuwara Eliya",Visit Kalutara Bodhiya; Visit Sigiriya Rock Fortress; Visit gem mines in Ratnapura; Explore Wilpattu National Park; Tour tea plantations in Nuwara Eliya
"Wildlife, Beach",Medium,Group,Budget,Rental Car,"Udawalawa, Minneriya, Habarana, Tangalle",Elephant watching in Udawalawa; Visit the elephant gathering in Minneriya; Safari in Habarana; Relax at Tangalle Beach
"Adventure, Beach",Medium,Family,Eco-friendly,Bus,"Hikkaduwa, Nuwara Eliya, Mirissa, Tangalle, Dickwella",Snorkel in Hikkaduwa; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Relax at Tangalle Beach; Visit the Beach
"Adventure, Culture",Medium,Solo,Luxury,Train,"Mirissa, Sinharaja, Unawatuna, Ratnapura",Go whale watching in Mirissa; Trek in Sinharaja Rainforest; Relax at Unawatuna Beach; Visit gem mines in Ratnapura
"Wildlife, Adventure",High,Group,Luxury,Bus,"Sinharaja, Wilpattu, Nuwara Eliya, Hikkaduwa",Trek in Sinharaja Rainforest; Explore Wilpattu National Park; Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa
"Culture, Adventure, Beach",Medium,Group,Luxury,Bus,"Kalutara, Arugambay, Nuwara Eliya, Hambanthota, Unawatuna",Visit Kalutara Bodhiya; Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Explore Bundala National Park; Relax at Unawatuna Beach
"Wildlife, Beach",Medium,Group,Eco-friendly,Rental Car,"Sinharaja, Negombo, Arugambay, Hikkaduwa",Trek in Sinharaja Rainforest; Relax on Negombo Beach; Surf in Arugambay; Snorkel in Hikkaduwa
"Relaxation, Culture, Beach",Low,Family,Budget,Rental Car,"Hatton, Nuwara Eliya, Sigiriya, Ratnapura, Negombo, Tangalle",Hike Adama's Peak; Tour tea plantations in Nuwara Eliya; Visit Sigiriya Rock Fortress; Visit gem mines in Ratnapura; Relax on Negombo Beach; Relax at Tangalle Beach
"Wildlife, Relaxation, Beach",Medium,Solo,Eco-friendly,Train,"Udawalawa, Wilpattu, Galle, Kalutara",Elephant watching in Udawalawa; Explore Wilpattu National Park; Explore Dutch Fort in Galle; Visit Kalutara Bodhiya
Adventure,Low,Solo,Luxury,Rental Car,"Unawatuna, Mirissa, Arugambay",Relax at Unawatuna Beach; Go whale watching in Mirissa; Surf in Arugambay
"Beach, Culture, Wildlife",Medium,Family,Budget,Bus,"Mirissa, Pasikudah, Trincomalee, Ratnapura, Anuradhapura, Minneriya, Yala, Sinharaja",Go whale watching in Mirissa; Enjoy snorkeling in Pasikudah; Snorkel at Pigeon Island; Visit gem mines in Ratnapura; Visit ancient stupas in Anuradhapura; Visit the elephant gathering in Minneriya; Safari in Yala National Park; Trek in Sinharaja Rainforest
Relaxation,Low,Group,Budget,Bus,Galle,Explore Dutch Fort in Galle
"Culture, Beach, Wildlife",High,Group,Budget,Train,"Dambulla, Mirissa, Wilpattu",Explore Dambulla Cave Temple; Go whale watching in Mirissa; Explore Wilpattu National Park
"Culture, Beach",High,Family,Eco-friendly,Rental Car,"Anuradhapura, Trincomalee, Polonnaruwa, Dickwella, Puttalam",Visit ancient stupas in Anuradhapura; Snorkel at Pigeon Island; Explore ancient ruins in Polonnaruwa; Visit the Beach; Birdwatch at Puttalam Lagoon
"Culture, Wildlife, Beach",Low,Family,Budget,Rental Car,"Trincomalee, Colombo, Sigiriya, Wilpattu, Udawalawa, Yala, Arugambay, Hambanthota, Mirissa",Snorkel at Pigeon Island; Visit a Gangaramaya Temple; Visit Sigiriya Rock Fortress; Explore Wilpattu National Park; Elephant watching in Udawalawa; Safari in Yala National Park; Surf in Arugambay; Explore Bundala National Park; Go whale watching in Mirissa
Relaxation,Medium,Group,Luxury,Rental Car,Kandy,Visit the Temple of the Sacred Tooth Relic
"Culture, Adventure",Medium,Family,Luxury,Train,"Kalutara, Jaffna, Dambulla, Unawatuna, Nuwara Eliya",Visit Kalutara Bodhiya; Visit Jaffna Fort; Explore Dambulla Cave Temple; Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya
"Wildlife, Beach",High,Family,Budget,Train,"Habarana, Udawalawa, Hikkaduwa",Safari in Habarana; Elephant watching in Udawalawa; Snorkel in Hikkaduwa
"Adventure, Culture",Low,Solo,Luxury,Rental Car,"Nuwara Eliya, Sinharaja, Jaffna, Anuradhapura",Tour tea plantations in Nuwara Eliya; Trek in Sinharaja Rainforest; Visit Jaffna Fort; Visit ancient stupas in Anuradhapura
Relaxation,Low,Group,Eco-friendly,Train,"Colombo, Hatton, Galle",Visit a Gangaramaya Temple; Hike Adam’s Peak; Explore Dutch Fort in Galle
"Culture, Wildlife, Adventure",Low,Solo,Luxury,Train,"Sigiriya, Kalutara, Koggala, Habarana, Yala, Udawalawa, Arugambay, Mirissa, Nuwara Eliya",Visit Sigiriya Rock Fortress; Visit Kalutara Bodhiya; Relax at Koggala Beach; Safari in Habarana; Safari in Yala National Park; Elephant watching in Udawalawa; Surf in Arugambay; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya
"Adventure, Culture, Relaxation",High,Group,Eco-friendly,Bus,"Nuwara Eliya, Arugambay, Anuradhapura, Trincomalee, Kandy, Dambulla",Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Visit ancient stupas in Anuradhapura; Snorkel at Pigeon Island; Visit the Temple of the Sacred Tooth Relic; Explore Dambulla Cave Temple
"Adventure, Wildlife",High,Family,Budget,Rental Car,"Unawatuna, Wilpattu, Udawalawa, Yala",Relax at Unawatuna Beach; Explore Wilpattu National Park; Elephant watching in Udawalawa; Safari in Yala National Park
"Beach, Adventure",Medium,Solo,Luxury,Bus,"Hambanthota, Mirissa",Explore Bundala National Park; Go whale watching in Mirissa
"Relaxation, Culture",Medium,Solo,Budget,Train,"Hatton, Kandy, Arugambay, Dambulla, Jaffna, Anuradhapura",Hike Adam's Peak; Visit the Temple of the Sacred Tooth Relic; Surf in Arugambay; Explore Dambulla Cave Temple; Visit Jaffna Fort; Visit ancient stupas in Anuradhapura
"Beach, Relaxation",Low,Solo,Budget,Rental Car,"Hambanthota, Bentota, Tangalle, Koggala",Explore Bundala National Park; Jet skiing in Bentota; Relax at Tangalle Beach; Relax at Koggala Beach
Beach,Low,Solo,Eco-friendly,Rental Car,"Bentota, Dickwella",Jet skiing in Bentota; Visit the Beach
"Culture, Relaxation, Adventure",Medium,Solo,Budget,Train,"Anuradhapura, Sigiriya, Hambanthota, Nuwara Eliya, Unawatuna, Arugambay",Visit ancient stupas in Anuradhapura; Visit Sigiriya Rock Fortress; Explore Bundala National Park; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Surf in Arugambay
"Culture, Beach, Relaxation",High,Group,Budget,Rental Car,"Koggala, Jaffna, Dambulla, Dickwella, Koggala, Kalutara, Ella",Relax at Koggala Beach; Visit Jaffna Fort; Explore Dambulla Cave Temple; Visit the Beach; Relax at Koggala Beach; Visit Kalutara Bodhiya; Hike Ella Rock
"Culture, Wildlife",Medium,Family,Budget,Train,"Galle, Yala",Explore Dutch Fort in Galle; Safari in Yala National Park
"Relaxation, Adventure",High,Family,Eco-friendly,Bus,"Colombo, Mirissa, Nuwara Eliya, Unawatuna",Visit a Gangaramaya Temple; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach
Culture,High,Solo,Luxury,Bus,Galle,Explore Dutch Fort in Galle
"Adventure, Culture, Wildlife",High,Group,Budget,Rental Car,"Unawatuna, Nuwara Eliya, Anuradhapura, Dambulla, Kalutara, Sinharaja, Udawalawa, Minneriya",Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya; Visit ancient stupas in Anuradhapura; Explore Dambulla Cave Temple; Visit Kalutara Bodhiya; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa; Visit the elephant gathering in Minneriya
"Beach, Relaxation, Wildlife",High,Family,Luxury,Bus,"Matara, Galle, Jaffna, Dambulla, Matara, Minneriya, Wilpattu, Sinharaja",Visit Parey Dewa in Matara; Explore Dutch Fort in Galle; Visit Jaffna Fort; Explore Dambulla Cave Temple; Visit Parey Dewa in Matara; Visit the elephant gathering in Minneriya; Explore Wilpattu National Park; Trek in Sinharaja Rainforest
Culture,Low,Family,Budget,Train,Kalutara,Visit Kalutara Bodhiya
"Adventure, Beach, Relaxation",Low,Group,Eco-friendly,Train,"Unawatuna, Jaffna, Ella, Hambanthota",Relax at Unawatuna Beach; Visit Jaffna Fort; Hike Ella Rock; Explore Bundala National Park
"Culture, Adventure",High,Family,Luxury,Train,"Jaffna, Sigiriya, Koggala, Hikkaduwa",Visit Jaffna Fort; Visit Sigiriya Rock Fortress; Relax at Koggala Beach; Snorkel in Hikkaduwa
"Culture, Adventure",Medium,Group,Budget,Bus,"Ratnapura, Dambulla, Koggala, Sinharaja",Visit gem mines in Ratnapura; Explore Dambulla Cave Temple; Relax at Koggala Beach; Trek in Sinharaja Rainforest
Culture,Medium,Family,Eco-friendly,Rental Car,"Polonnaruwa, Galle, Kandy",Explore ancient ruins in Polonnaruwa; Explore Dutch Fort in Galle; Visit the Temple of the Sacred Tooth Relic
Beach,Medium,Solo,Eco-friendly,Train,Galle,Explore Dutch Fort in Galle
"Culture, Relaxation, Beach",Medium,Group,Budget,Rental Car,"Dambulla, Arugambay, Unawatuna, Bentota",Explore Dambulla Cave Temple; Surf in Arugambay; Relax at Unawatuna Beach; Jet skiing in Bentota
"Wildlife, Adventure",High,Group,Eco-friendly,Train,"Sinharaja, Minneriya, Mirissa, Unawatuna",Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya; Go whale watching in Mirissa; Relax at Unawatuna Beach
Adventure,Medium,Solo,Luxury,Rental Car,"Hikkaduwa, Unawatuna, Mirissa",Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Go whale watching in Mirissa
Culture,High,Solo,Luxury,Train,"Colombo, Dambulla",Visit a Gangaramaya Temple; Explore Dambulla Cave Temple
"Relaxation, Culture",Low,Solo,Budget,Train,"Colombo, Hambanthota, Polonnaruwa, Dambulla, Colombo",Visit a Gangaramaya Temple; Explore Bundala National Park; Explore ancient ruins in Polonnaruwa; Explore Dambulla Cave Temple; Visit a Gangaramaya Temple
"Culture, Adventure",High,Group,Budget,Rental Car,"Ratnapura, Kalutara, Trincomalee, Sinharaja",Visit gem mines in Ratnapura; Visit Kalutara Bodhiya; Snorkel at Pigeon Island; Trek in Sinharaja Rainforest
"Adventure, Culture",Medium,Group,Luxury,Train,"Sinharaja, Ella, Ratnapura",Trek in Sinharaja Rainforest; Hike Ella Rock; Visit gem mines in Ratnapura
Wildlife,High,Solo,Eco-friendly,Train,"Yala, Udawalawa, Wilpattu",Safari in Yala National Park; Elephant watching in Udawalawa; Explore Wilpattu National Park
Relaxation,High,Group,Budget,Bus,"Koggala, Negombo, Colombo",Relax at Koggala Beach; Relax on Negombo Beach; Visit a Gangaramaya Temple
Culture,Medium,Solo,Budget,Rental Car,"Kalutara, Sigiriya",Visit Kalutara Bodhiya; Visit Sigiriya Rock Fortress
Adventure,Medium,Group,Budget,Bus,"Mirissa, Ella",Go whale watching in Mirissa; Hike Ella Rock
"Adventure, Relaxation, Beach",High,Solo,Budget,Rental Car,"Arugambay, Unawatuna, Dambulla, Hikkaduwa",Surf in Arugambay; Relax at Unawatuna Beach; Explore Dambulla Cave Temple; Snorkel in Hikkaduwa
"Culture, Beach",Low,Family,Luxury,Train,"Dambulla, Galle, Puttalam, Jaffna",Explore Dambulla Cave Temple; Explore Dutch Fort in Galle; Birdwatch at Puttalam Lagoon; Visit Jaffna Fort
Wildlife,Medium,Solo,Budget,Rental Car,Wilpattu,Explore Wilpattu National Park
"Wildlife, Culture, Adventure",Medium,Family,Budget,Train,"Sinharaja, Anuradhapura, Jaffna, Trincomalee, Hikkaduwa",Trek in Sinharaja Rainforest; Visit ancient stupas in Anuradhapura; Visit Jaffna Fort; Snorkel at Pigeon Island; Snorkel in Hikkaduwa
Wildlife,High,Family,Luxury,Rental Car,Minneriya,Visit the elephant gathering in Minneriya
"Beach, Adventure, Wildlife",High,Group,Eco-friendly,Rental Car,"Hambanthota, Negombo, Hikkaduwa, Ella, Nuwara Eliya, Wilpattu, Udawalawa, Sinharaja",Explore Bundala National Park; Relax on Negombo Beach; Snorkel in Hikkaduwa; Hike Ella Rock; Tour tea plantations in Nuwara Eliya; Explore Wilpattu National Park; Elephant watching in Udawalawa; Trek in Sinharaja Rainforest
Beach,Low,Group,Luxury,Bus,Hambanthota,Explore Bundala National Park
"Relaxation, Beach",Medium,Family,Luxury,Train,"Dambulla, Mirissa, Matara, Arugambay, Hambanthota",Explore Dambulla Cave Temple; Go whale watching in Mirissa; Visit Parey Dewa in Matara; Surf in Arugambay; Explore Bundala National Park
Adventure,Low,Solo,Luxury,Train,"Sinharaja, Ella, Unawatuna",Trek in Sinharaja Rainforest; Hike Ella Rock; Relax at Unawatuna Beach
Beach,Low,Family,Eco-friendly,Rental Car,"Matara, Mirissa, Hambanthota",Visit Parey Dewa in Matara; Go whale watching in Mirissa; Explore Bundala National Park
"Beach, Wildlife, Relaxation",Medium,Solo,Luxury,Rental Car,"Dickwella, Wilpattu, Dambulla",Visit the Beach; Explore Wilpattu National Park; Explore Dambulla Cave Temple
Beach,Medium,Group,Eco-friendly,Rental Car,Galle,Explore Dutch Fort in Galle
"Beach, Relaxation",Medium,Family,Budget,Bus,"Dickwella, Galle, Nuwara Eliya, Kalutara",Visit the Beach; Explore Dutch Fort in Galle; Tour tea plantations in Nuwara Eliya; Visit Kalutara Bodhiya
"Wildlife, Adventure",Medium,Solo,Eco-friendly,Bus,"Wilpattu, Udawalawa, Hikkaduwa, Arugambay",Explore Wilpattu National Park; Elephant watching in Udawalawa; Snorkel in Hikkaduwa; Surf in Arugambay
"Culture, Relaxation, Adventure",High,Family,Eco-friendly,Rental Car,"Mihintale, Polonnaruwa, Ratnapura, Koggala, Mirissa, Hikkaduwa, Arugambay",Climb Mihintale Rock Temple; Explore ancient ruins in Polonnaruwa; Visit gem mines in Ratnapura; Relax at Koggala Beach; Go whale watching in Mirissa; Snorkel in Hikkaduwa; Surf in Arugambay
"Beach, Adventure",Medium,Solo,Budget,Train,"Unawatuna, Bentota, Jaffna, Mirissa, Hikkaduwa, Sinharaja",Relax at Unawatuna Beach; Jet skiing in Bentota; Visit Jaffna Fort; Go whale watching in Mirissa; Snorkel in Hikkaduwa; Trek in Sinharaja Rainforest
"Culture, Relaxation",Low,Group,Budget,Rental Car,"Koggala, Kalutara, Hatton, Hambanthota",Relax at Koggala Beach; Visit Kalutara Bodhiya; Hike Adam’s Peak; Explore Bundala National Park
"Beach, Relaxation, Adventure",High,Group,Luxury,Bus,"Kalutara, Unawatuna, Negombo, Arugambay, Kandy, Hambanthota, Ella, Mirissa, Sinharaja",Visit Kalutara Bodhiya; Relax at Unawatuna Beach; Relax on Negombo Beach; Surf in Arugambay; Visit the Temple of the Sacred Tooth Relic; Explore Bundala National Park; Hike Ella Rock; Go whale watching in Mirissa; Trek in Sinharaja Rainforest
"Culture, Beach",Low,Group,Budget,Bus,"Sigiriya, Pasikudah, Mirissa",Visit Sigiriya Rock Fortress; Enjoy snorkeling in Pasikudah; Go whale watching in Mirissa
"Adventure, Culture, Beach",High,Solo,Luxury,Train,"Nuwara Eliya, Arugambay, Unawatuna, Ratnapura, Matara, Bentota",Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Relax at Unawatuna Beach; Visit gem mines in Ratnapura; Visit Parey Dewa in Matara; Jet skiing in Bentota
Wildlife,Medium,Family,Luxury,Train,"Habarana, Minneriya",Safari in Habarana; Visit the elephant gathering in Minneriya
Adventure,Medium,Family,Luxury,Rental Car,"Ella, Hikkaduwa, Unawatuna",Hike Ella Rock; Snorkel in Hikkaduwa; Relax at Unawatuna Beach
"Culture, Relaxation, Wildlife",High,Group,Budget,Train,"Jaffna, Arugambay, Habarana, Udawalawa, Yala",Visit Jaffna Fort; Surf in Arugambay; Safari in Habarana; Elephant watching in Udawalawa; Safari in Yala National Park
"Relaxation, Adventure, Culture",Medium,Solo,Eco-friendly,Train,"Galle, Ella, Sinharaja, Kalutara",Explore Dutch Fort in Galle; Hike Ella Rock; Trek in Sinharaja Rainforest; Visit Kalutara Bodhiya
"Wildlife, Adventure, Culture",High,Solo,Eco-friendly,Rental Car,"Wilpattu, Mirissa, Polonnaruwa, Sigiriya",Explore Wilpattu National Park; Go whale watching in Mirissa; Explore ancient ruins in Polonnaruwa; Visit Sigiriya Rock Fortress
Wildlife,Medium,Family,Eco-friendly,Rental Car,"Minneriya, Udawalawa, Yala",Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa; Safari in Yala National Park
"Culture, Wildlife",Low,Family,Luxury,Train,"Anuradhapura, Habarana, Sinharaja, Yala",Visit ancient stupas in Anuradhapura; Safari in Habarana; Trek in Sinharaja Rainforest; Safari in Yala National Park
Wildlife,High,Group,Budget,Bus,"Sinharaja, Udawalawa, Wilpattu",Trek in Sinharaja Rainforest; Elephant watching in Udawalawa; Explore Wilpattu National Park
Culture,Low,Solo,Budget,Rental Car,Ratnapura,Visit gem mines in Ratnapura
Wildlife,Low,Family,Luxury,Bus,"Wilpattu, Udawalawa, Minneriya",Explore Wilpattu National Park; Elephant watching in Udawalawa; Visit the elephant gathering in Minneriya
"Relaxation, Adventure, Wildlife",Medium,Solo,Budget,Rental Car,"Hambanthota, Weligama, Hikkaduwa, Udawalawa",Explore Bundala National Park; Take surfing lessons in Weligama; Snorkel in Hikkaduwa; Elephant watching in Udawalawa
"Relaxation, Wildlife, Culture",Medium,Solo,Luxury,Rental Car,"Nuwara Eliya, Colombo, Habarana, Sinharaja, Udawalawa, Mihintale",Tour tea plantations in Nuwara Eliya; Visit a Gangaramaya Temple; Safari in Habarana; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa; Climb Mihintale Rock Temple
"Wildlife, Beach",Medium,Solo,Budget,Bus,"Minneriya, Wilpattu, Hikkaduwa, Tangalle, Bentota",Visit the elephant gathering in Minneriya; Explore Wilpattu National Park; Snorkel in Hikkaduwa; Relax at Tangalle Beach; Jet skiing in Bentota
"Adventure, Culture",Medium,Family,Eco-friendly,Rental Car,"Mirissa, Ella, Unawatuna, Galle",Go whale watching in Mirissa; Hike Ella Rock; Relax at Unawatuna Beach; Explore Dutch Fort in Galle
Culture,High,Family,Budget,Rental Car,"Polonnaruwa, Mihintale",Explore ancient ruins in Polonnaruwa; Climb Mihintale Rock Temple
"Relaxation, Culture, Wildlife",Low,Group,Luxury,Bus,"Hatton, Weligama, Anuradhapura, Ratnapura, Wilpattu, Udawalawa, Habarana",Hike Adam’s Peak; Take surfing lessons in Weligama; Visit ancient stupas in Anuradhapura; Visit gem mines in Ratnapura; Explore Wilpattu National Park; Elephant watching in Udawalawa; Safari in Habarana
Relaxation,High,Group,Eco-friendly,Bus,"Colombo, Mirissa",Visit a Gangaramaya Temple; Go whale watching in Mirissa
"Relaxation, Culture, Adventure",High,Solo,Eco-friendly,Bus,"Hatton, Koggala, Dambulla, Nuwara Eliya, Mirissa, Hikkaduwa",Hike Adam’s Peak; Relax at Koggala Beach; Explore Dambulla Cave Temple; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Snorkel in Hikkaduwa
"Beach, Relaxation, Culture",Low,Group,Luxury,Bus,"Mirissa, Kalutara, Unawatuna, Unawatuna, Kandy, Sigiriya, Dambulla",Go whale watching in Mirissa; Visit Kalutara Bodhiya; Relax at Unawatuna Beach; Relax at Unawatuna Beach; Visit the Temple of the Sacred Tooth Relic; Visit Sigiriya Rock Fortress; Explore Dambulla Cave Temple
Wildlife,High,Solo,Luxury,Train,"Wilpattu, Sinharaja, Udawalawa",Explore Wilpattu National Park; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa
"Culture, Adventure, Wildlife",Low,Solo,Eco-friendly,Bus,"Galle, Anuradhapura, Kalutara, Unawatuna, Udawalawa",Explore Dutch Fort in Galle; Visit ancient stupas in Anuradhapura; Visit Kalutara Bodhiya; Relax at Unawatuna Beach; Elephant watching in Udawalawa
"Wildlife, Beach",High,Solo,Budget,Rental Car,"Wilpattu, Bentota, Dickwella",Explore Wilpattu National Park; Jet skiing in Bentota; Visit the Beach
"Adventure, Culture",Low,Solo,Eco-friendly,Rental Car,"Mirissa, Trincomalee, Jaffna",Go whale watching in Mirissa; Snorkel at Pigeon Island; Visit Jaffna Fort
"Beach, Culture",Low,Solo,Budget,Train,"Dickwella, Koggala, Kalutara",Visit the Beach; Relax at Koggala Beach; Visit Kalutara Bodhiya
"Relaxation, Wildlife, Adventure",Medium,Solo,Eco-friendly,Bus,"Matara, Kandy, Dambulla, Udawalawa, Arugambay, Nuwara Eliya",Visit Parey Dewa in Matara; Visit the Temple of the Sacred Tooth Relic; Explore Dambulla Cave Temple; Elephant watching in Udawalawa; Surf in Arugambay; Tour tea plantations in Nuwara Eliya
"Beach, Wildlife, Adventure",Low,Solo,Budget,Rental Car,"Tangalle, Bentota, Minneriya, Sinharaja, Wilpattu, Hikkaduwa",Relax at Tangalle Beach; Jet skiing in Bentota; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest; Explore Wilpattu National Park; Snorkel in Hikkaduwa
"Adventure, Wildlife, Relaxation",Medium,Group,Eco-friendly,Train,"Mirissa, Hikkaduwa, Minneriya, Nuwara Eliya, Matara, Unawatuna",Go whale watching in Mirissa; Snorkel in Hikkaduwa; Visit the elephant gathering in Minneriya; Tour tea plantations in Nuwara Eliya; Visit Parey Dewa in Matara; Relax at Unawatuna Beach
Culture,High,Group,Budget,Bus,Ratnapura,Visit gem mines in Ratnapura
Relaxation,High,Family,Budget,Rental Car,"Hambanthota, Unawatuna, Negombo",Explore Bundala National Park; Relax at Unawatuna Beach; Relax on Negombo Beach
"Adventure, Wildlife",High,Group,Luxury,Train,"Nuwara Eliya, Mirissa, Sinharaja, Minneriya, Udawalawa",Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa
"Adventure, Culture, Beach",Medium,Group,Luxury,Bus,"Ella, Sinharaja, Dambulla, Jaffna, Matara",Hike Ella Rock; Trek in Sinharaja Rainforest; Explore Dambulla Cave Temple; Visit Jaffna Fort; Visit Parey Dewa in Matara
Wildlife,High,Family,Eco-friendly,Train,"Yala, Minneriya",Safari in Yala National Park; Visit the elephant gathering in Minneriya
"Culture, Relaxation, Beach",Low,Family,Budget,Rental Car,"Dambulla, Polonnaruwa, Hambanthota, Kandy, Koggala, Arugambay",Explore Dambulla Cave Temple; Explore ancient ruins in Polonnaruwa; Explore Bundala National Park; Visit the Temple of the Sacred Tooth Relic; Relax at Koggala Beach; Surf in Arugambay
Wildlife,Medium,Group,Luxury,Rental Car,Habarana,Safari in Habarana
Relaxation,High,Group,Luxury,Train,"Koggala, Kalutara",Relax at Koggala Beach; Visit Kalutara Bodhiya
Relaxation,Low,Solo,Eco-friendly,Bus,Negombo,Relax on Negombo Beach
Wildlife,Medium,Family,Eco-friendly,Train,"Habarana, Sinharaja",Safari in Habarana; Trek in Sinharaja Rainforest
"Culture, Adventure, Beach",High,Solo,Eco-friendly,Train,"Kandy, Trincomalee, Jaffna, Nuwara Eliya, Mirissa, Hikkaduwa, Bentota, Puttalam",Visit the Temple of the Sacred Tooth Relic; Snorkel at Pigeon Island; Visit Jaffna Fort; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Snorkel in Hikkaduwa; Jet skiing in Bentota; Birdwatch at Puttalam Lagoon
Adventure,Medium,Group,Budget,Train,Ella,Hike Ella Rock
Wildlife,High,Family,Budget,Bus,Minneriya,Visit the elephant gathering in Minneriya
"Culture, Beach, Relaxation",Low,Family,Eco-friendly,Train,"Kandy, Trincomalee, Dickwella, Matara, Galle, Kalutara, Ella",Visit the Temple of the Sacred Tooth Relic; Snorkel at Pigeon Island; Visit the Beach; Visit Parey Dewa in Matara; Explore Dutch Fort in Galle; Visit Kalutara Bodhiya; Hike Ella Rock
Adventure,High,Solo,Budget,Rental Car,"Hikkaduwa, Sinharaja, Nuwara Eliya",Snorkel in Hikkaduwa; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya
Relaxation,Medium,Solo,Eco-friendly,Rental Car,"Unawatuna, Hatton, Matara",Relax at Unawatuna Beach; Hike Adam’s Peak; Visit Parey Dewa in Matara
"Relaxation, Adventure, Culture",High,Family,Budget,Bus,"Nuwara Eliya, Ella, Mirissa, Nuwara Eliya, Trincomalee, Kalutara",Tour tea plantations in Nuwara Eliya; Hike Ella Rock; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Snorkel at Pigeon Island; Visit Kalutara Bodhiya
"Culture, Adventure",High,Group,Eco-friendly,Bus,"Mihintale, Koggala, Trincomalee, Unawatuna, Ella, Nuwara Eliya",Climb Mihintale Rock Temple; Relax at Koggala Beach; Snorkel at Pigeon Island; Relax at Unawatuna Beach; Hike Ella Rock; Tour tea plantations in Nuwara Eliya
"Culture, Wildlife",Medium,Solo,Budget,Bus,"Colombo, Habarana, Yala, Wilpattu",Visit a Gangaramaya Temple; Safari in Habarana; Safari in Yala National Park; Explore Wilpattu National Park
"Adventure, Wildlife",Low,Solo,Eco-friendly,Train,"Sinharaja, Ella, Yala",Trek in Sinharaja Rainforest; Hike Ella Rock; Safari in Yala National Park
"Culture, Adventure",Medium,Family,Budget,Rental Car,"Jaffna, Polonnaruwa, Sigiriya, Sinharaja",Visit Jaffna Fort; Explore ancient ruins in Polonnaruwa; Visit Sigiriya Rock Fortress; Trek in Sinharaja Rainforest
Relaxation,Low,Family,Budget,Bus,Kandy,Visit the Temple of the Sacred Tooth Relic
Relaxation,Low,Group,Luxury,Bus,"Hambanthota, Ella, Kandy",Explore Bundala National Park; Hike Ella Rock; Visit the Temple of the Sacred Tooth Relic
"Beach, Wildlife, Adventure",Low,Family,Eco-friendly,Train,"Tangalle, Dickwella, Kalutara, Minneriya, Yala, Habarana, Nuwara Eliya, Hikkaduwa, Mirissa",Relax at Tangalle Beach; Visit the Beach; Visit Kalutara Bodhiya; Visit the elephant gathering in Minneriya; Safari in Yala National Park; Safari in Habarana; Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa; Go whale watching in Mirissa
